PARAM,AVG_TIME,RUN,FAILED,NB_INSTANCES
20,138,1,10,20
20,142,2,9,16
20,93,3,6,14
40,98,1,7,14
40,196,2,13,14
40,150,3,13,14
60,250,1,10,14
60,373,2,11,14
60,196,3,3,13
